filename,"volume (m3) -0.2","volume (m3) -0.5","volume (m3) -1.0"
co2_S5_high_run_fvcom_inputV5_low_flow_0001.nc,0.00,0.00,0.00,
co2_S5_low_run_fvcom_inputV5_low_flow_0001.nc,0.00,0.00,0.00,
co2_S5_pipe_run_fvcom_inputV5_low_flow_0001.nc,37049053187475.59,9401069500260.20,4038635613015.17,
co2_S5_high_run_fvcom_inputV5_high_flow_0001.nc,0.00,0.00,0.00,
co2_S5_low_run_fvcom_inputV5_high_flow_0001.nc,0.00,0.00,0.00,
co2_S5_pipe_run_fvcom_inputV5_high_flow_0001.nc,55180178565003.48,16709666695708.14,8426030926795.49,
co2_S5_high_run_fvcom_inputV5_mid_flow_0001.nc,0.00,0.00,0.00,
co2_S5_low_run_fvcom_inputV5_mid_flow_0001.nc,0.00,0.00,0.00,
co2_S5_pipe_run_fvcom_inputV5_mid_flow_0001.nc,15221674579876.93,6047205278629.37,1666350432064.81,
co2_S7_low_run_fvcom_inputV7_low_flow_0001.nc,0.00,0.00,0.00,
co2_S7_high_run_fvcom_inputV7_high_flow_0001.nc,0.00,0.00,0.00,
co2_S7_high_run_fvcom_inputV7_mid_flow_0001.nc,0.00,0.00,0.00,
co2_S7_low_run_fvcom_inputV7_mid_flow_0001.nc,0.00,0.00,0.00,
